Periode;Returning.Visits
1;277
2;462
3;534
4;437
5;261
6;398
7;550
8;597
9;585
10;538
11;477
12;309
13;386
14;588
15;582
16;602
17;549
18;495
19;330
20;393
21;608
22;622
23;657
24;609
25;500
26;341
27;390
28;693
29;606
30;625
31;613
32;559
33;306
34;403
35;621
36;633
37;629
38;694
39;514
40;363
41;492
42;710
43;701
44;696
45;687
46;575
47;386
48;452
49;686
50;747
51;722
52;719
53;565
54;388
55;488
56;746
57;774
58;763
59;700
60;584
61;385
62;529
63;771
64;749
65;730
66;734
67;557
68;369
69;501
70;721
71;752
72;780
73;715
74;617
75;414
76;486
77;721
78;716
79;754
80;661
81;528
82;395
83;472
84;763
85;766
86;770
87;725
88;546
89;376
90;496
91;688
92;823
93;785
94;696
95;627
96;395
97;539
98;778
99;769
100;802
101;760
102;610
103;398
104;597
105;806
106;800
107;789
108;692
109;499
110;422
111;511
112;791
113;821
114;866
115;817
116;691
117;427
118;566
119;762
120;824
121;719
122;720
123;607
124;463
125;552
126;762
127;789
128;739
129;669
130;650
131;417
132;495
133;772
134;692
135;678
136;624
137;541
138;331
139;410
140;636
141;593
142;659
143;545
144;489
145;311
146;371
147;509
148;636
149;553
150;543
151;454
152;253
153;329
154;536
155;582
156;494
157;559
158;444
159;259
160;344
161;567
162;594
163;585
164;564
165;476
166;266
167;328
168;527
169;552
170;531
171;478
172;422
173;242
174;304
175;442
176;523
177;489
178;474
179;364
180;216
181;254
182;484
183;473
184;435
185;323
186;344
187;181
188;268
189;520
190;464
191;560
192;519
193;460
194;242
195;321
196;529
197;500
198;540
199;525
200;437
201;238
202;261
203;514
204;524
205;604
206;545
207;422
208;239
209;270
210;486
211;520
212;483
213;509
214;406
215;216
216;283
217;473
218;549
219;460
220;441
221;373
222;216
223;260
224;453
225;452
226;430
227;404
228;359
229;202
230;244
231;476
232;507
233;444
234;332
235;374
236;229
237;294
238;457
239;453
240;502
241;505
242;375
243;207
244;231
245;362
246;487
247;506
248;508
249;388
250;223
251;291
252;502
253;493
254;464
255;488
256;387
257;265
258;285
259;559
260;542
261;504
262;472
263;415
264;255
265;312
266;513
267;539
268;532
269;510
270;415
271;249
272;354
273;538
274;552
275;474
276;513
277;414
278;291
279;379
280;497
281;481
282;548
283;541
284;473
285;308
286;368
287;556
288;545
289;563
290;572
291;422
292;326
293;402
294;637
295;596
296;623
297;598
298;500
299;304
300;394
301;591
302;564
303;607
304;509
305;406
306;281
307;460
308;544
309;627
310;679
311;679
312;518
313;337
314;441
315;621
316;712
317;703
318;603
319;525
320;370
321;515
322;714
323;653
324;666
325;622
326;490
327;356
328;455
329;631
330;593
331;598
332;476
333;443
334;390
335;459
336;643
337;690
338;707
339;682
340;538
341;398
342;477
343;681
344;660
345;662
346;662
347;471
348;282
349;392
350;525
351;546
352;472
353;440
354;323
355;157
356;221
357;296
358;220
359;176
360;253
361;210
362;200
363;188
364;283
365;187
